"","Tp","Cl","pH","Redox","Leit","Trueb","Cl_2","Fm","Fm_2","EVENT"
"12722",6.7,0.16,8.36,753,210,0.02,0.113,1559,913,"0"
"112252",9.4,0.18,8.39,753,210,0.017,0.097,1229,880,"0"
"114906",10,0.15,8.38,753,210,0.016,0.106,1233,915,"0"
"90722",9,0.17,8.3,758,210,0.016,0.109,1526,901,"0"
"55266",8.1,0.17,8.34,756,211,0.024,0.113,1488,1072,"0"
"41710",7.7,0.15,8.35,750,211,0.027,0.101,1750,1067,"0"
"77957",8.6,0.16,8.32,751,211,0.017,0.102,1453,853,"0"
"128893",10.8,0.17,8.36,750,206,0.019,0.102,1280,953,"0"
"97805",9.2,0.17,8.37,757,210,0.016,0.108,1524,832,"0"
"19107",7.1,0.16,8.39,750,211,0.017,0.105,1660,1019,"0"
"116636",9.9,0.18,8.43,752,217,0.018,0.099,1384,826,"0"
"116072",9.9,0.17,8.41,751,214,0.017,0.092,1313,795,"0"
"92993",9,0.17,8.34,758,214,0.015,0.108,1587,864,"0"
"77058",8.7,0.17,8.37,755,210,0.015,0.108,1495,1009,"0"
"18281",6.9,0.16,8.38,751,210,0.022,0.11,1429,1001,"0"
"26676",7.3,0.16,8.27,754,214,0.023,0.117,1446,925,"0"
"15055",6.9,0.17,8.3,753,211,0.021,0.11,1457,1000,"0"
"114892",10,0.16,8.37,753,210,0.016,0.106,1260,913,"0"
"113936",9.9,0.17,8.41,751,214,0.022,0.095,1422,930,"0"
"21973",7.1,0.15,8.34,754,207,0.023,0.106,1616,1030,"0"
"61453",8.2,0.17,8.33,757,209,0.03,0.101,2012,1193,"0"
"28748",7.3,0.16,8.36,753,211,0.025,0.111,1781,785,"0"
"25087",7,0.16,8.32,752,211,0.026,0.109,1410,984,"0"
"105586",9.7,0.17,8.36,754,210,0.017,0.106,1407,910,"0"
"73211",8.3,0.17,8.39,752,214,0.021,0.109,1660,861,"0"
"117397",9.9,0.16,8.43,751,210,0.017,0.095,1459,943,"0"
"139413",10.1,0.16,8.43,760,193,0.024,0.11,1423,870,"0"
"72156",8.5,0.16,8.39,741,210,0.016,0.109,1616,1034,"0"
"134794",10.7,0.17,8.38,758,187,0.02,0.106,1475,853,"0"
"129954",11,0.16,8.41,750,200,0.018,0.095,1486,1065,"0"
"26996",7.1,0.16,8.39,751,214,0.024,0.106,1493,910,"0"
"107564",9.7,0.17,8.39,756,206,0.015,0.113,1480,895,"0"
"12304",6.7,0.17,8.34,754,210,0.02,0.114,1343,901,"0"
"126688",10.7,0.17,8.38,749,210,0.018,0.099,1406,810,"0"
"118050",10.1,0.16,8.43,753,210,0.016,0.103,1631,936,"0"
"105271",9.6,0.17,8.35,755,210,0.014,0.102,1237,1013,"0"
"24855",7,0.17,8.36,753,211,0.023,0.106,1501,986,"0"
"116418",9.9,0.17,8.41,753,214,0.018,0.103,1434,814,"0"
"106790",9.8,0.17,8.41,754,207,0.022,0.099,1348,902,"0"
"12741",6.7,0.17,8.35,753,214,0.021,0.113,1466,921,"0"
"49020",7.7,0.16,8.41,750,211,0.025,0.106,1616,1055,"0"
"120149",10.4,0.18,8.43,750,210,0.014,0.099,1486,927,"0"
"86201",8.9,0.16,8.34,754,214,0.016,0.097,1366,812,"0"
"46973",7.7,0.17,8.39,751,211,0.025,0.111,1462,822,"0"
"73077",8.3,0.16,8.43,750,214,0.016,0.109,1532,834,"0"
"95531",9,0.17,8.33,758,210,0.019,0.11,1376,959,"0"
"121747",10.4,0.16,8.51,746,210,0.017,0.095,1223,913,"0"
"27954",7.3,0.17,8.32,752,211,0.018,0.108,1663,927,"0"
"13286",6.8,0.16,8.34,751,214,0.021,0.104,1486,849,"0"
"10347",6.7,0.16,8.36,752,211,0.024,0.11,1574,974,"0"
"50621",8,0.16,8.53,742,214,0.034,0.095,1668,834,"0"
